t,context,y,nll,nll0,overconfident_memory_nll,memory_only_nll,fixed_half_nll,cumulative_nll,cumulative_nll0,no_harm_slack,accuracy,base_accuracy,ece,brier,base_brier,w_lambda_0,w_lambda_0.05,w_lambda_0.1,w_lambda_0.2,w_lambda_0.4,w_lambda_0.7,w_lambda_1
347,12,3,1.0546480340646238,3.6409683687078287,1.0152306797299464,1.0546480041974735,1.6751986589194332,881.8226681404053,1372.9059680957448,-493.0292101043948,0.3746397694524496,0.06340057636887608,0.051156943448707526,0.5029639762050004,0.9724981499075835,7.588127762148791e-215,1.0154686033206485e-171,8.794317881150317e-142,4.746638299245732e-100,4.635401540685012e-49,7.779674299879116e-08,0.9999999222032571
348,12,23,1.448905811015953,3.0478814226073285,1.4152818979939985,1.4489057923938269,1.9579800834284375,883.2715739514213,1375.9538495183522,-494.6281857159862,0.3735632183908046,0.06609195402298851,0.05033579693655849,0.7341087259971235,0.9300332899620583,1.5335867573978004e-215,2.4574164841743364e-172,2.4790575460534562e-142,1.7167772372666467e-100,2.4162590213762033e-49,5.917461803058945e-08,0.999999940825382
349,12,40,3.1880259498525025,4.0410162189506,3.164067588373774,3.1880259396650965,3.5262025021590966,886.4595999012738,1379.9948657373027,-495.4811759850842,0.37249283667621774,0.0659025787965616,0.051201352245207006,1.1222300920801005,0.9897928213239111,6.535207519304033e-216,1.1177112071714704e-172,1.1986860044069638e-142,9.286237029537353e-101,1.5843005854966158e-49,4.898721246513526e-08,0.9999999510127875
350,12,3,1.0563699740532257,3.6409683687078287,1.0185695809954238,1.05636996046554,1.676799940286407,887.5159698753271,1383.6358341060104,-498.0657743797386,0.3742857142857143,0.06571428571428571,0.050554533836219814,0.5051450200040882,0.9724981499075835,4.929269486868212e-217,1.3597521008084838e-173,2.0123987751195537e-143,2.4175891151960555e-101,7.054190634915475e-50,3.539952740406418e-08,0.9999999646004726
351,12,23,1.4324828160693386,3.0478814226073285,1.4000876832530478,1.4324828075608294,1.9442994176698452,888.9484526913964,1386.6837155286178,-499.6811729862767,0.3732193732193732,0.06837606837606838,0.050066342168104884,0.7271050427028257,0.9300332899620583,9.799950027467384e-218,3.248051226872646e-174,5.613189281713622e-144,8.680332622129271e-102,3.6631484176969856e-50,2.689101835003432e-08,0.9999999731089817
352,12,3,1.0450586972710838,3.6409683687078287,1.0082282272006686,1.0450586898054217,1.6662778410447474,889.9935113886675,1390.3246838973255,-502.2770826577133,0.375,0.06818181818181818,0.05109692397139322,0.5022041021545514,0.9724981499075835,7.308607096880413e-219,3.925240802388852e-175,9.380773384245927e-145,2.2539560403132915e-102,1.6291735558298628e-50,1.942535652558749e-08,0.9999999805746435
353,12,3,1.021698233989934,3.6409683687078287,0.9852836033619242,1.0216982285869036,1.644521140791271,891.0152096226574,1393.9656522660332,-504.8963527924311,0.37677053824362605,0.0679886685552408,0.05276525255710451,0.4894096183976529,0.9724981499075835,5.32476013898531e-220,4.679405868897481e-176,1.5531785628423186e-145,5.821626208849158e-103,7.228864850920994e-51,1.4022325881730574e-08,0.9999999859776741
354,12,11,2.2862320922493398,4.596843965826653,2.251291798607212,2.2862320884599487,2.8847961403404323,893.3014417149067,1398.5624962318598,-507.2069646660084,0.3757062146892655,0.06779661016949153,0.05157641126262658,1.0099695623188498,1.0047847989612881,5.282190534687996e-221,6.749598808351016e-177,2.9398638653919037e-146,1.6263319928405098e-103,3.3218103068503505e-51,1.023293482238871e-08,0.9999999897670652
355,12,40,2.982633738224276,4.0410162189506,2.9575110607343746,2.982633736219695,3.3778886496746594,896.284075453131,1402.6035124508103,-508.2653471467346,0.37464788732394366,0.0676056338028169,0.05040722838864245,1.1093159316929648,0.9897928213239111,1.8330081313742992e-221,2.562592031821555e-177,1.212149959893994e-146,7.767578397676258e-104,2.0203582415932347e-51,8.228354057702112e-09,0.9999999917716459
356,12,23,1.4425445310612945,3.0478814226073285,1.4122698475239193,1.4425445290885184,1.9526854806959009,897.7266199841923,1405.6513938734176,-509.8706840382806,0.37359550561797755,0.0702247191011236,0.04925721915588098,0.7342021647482468,0.9300332899620583,3.681081542416972e-222,6.170229441177927e-178,3.402986157101116e-147,2.8014354917729126e-104,1.0515825925228569e-51,6.2555779316351885e-09,0.999999993744422
357,12,3,1.0367139617754828,3.6409683687078287,1.0021520224813232,1.036713960037605,1.6585100099936774,898.7633339459678,1409.2923622421254,-512.4749384452128,0.3753501400560224,0.0700280112044818,0.05092703630682676,0.4984453839824372,0.9724981499075835,2.7224638362765196e-223,7.420339307501265e-179,5.6680965598298664e-148,7.260385335875966e-105,4.672969686421814e-52,4.5177000563849855e-09,0.9999999954822999
